age,metier,etat_civil,niveau_education,defaut_credit,solde_annuel_moyen,pret_immobilier,pret_personel,type_contact,jour,mois,duree_appel,nb_appels_campagne,jours_depuis_dernier,appels_precedents,resultat_prec,cible
58,cadre,marié,supérieur,non,2143,oui,non,inconnu,5,mai,261,1,-1,0,inconnu,no
44,technicien,célibataire,secondaire,non,29,oui,non,inconnu,5,mai,151,1,-1,0,inconnu,no
33,entrepreneur,marié,secondaire,non,2,oui,oui,inconnu,5,mai,76,1,-1,0,inconnu,no
47,ouvrier,marié,inconnu,non,1506,oui,non,inconnu,5,mai,92,1,-1,0,inconnu,no
33,inconnu,célibataire,inconnu,non,1,non,non,inconnu,5,mai,198,1,-1,0,inconnu,no
35,cadre,marié,supérieur,non,231,oui,non,inconnu,5,mai,139,1,-1,0,inconnu,no
28,cadre,célibataire,supérieur,non,447,oui,oui,inconnu,5,mai,217,1,-1,0,inconnu,no
42,entrepreneur,divorcé,supérieur,oui,2,oui,non,inconnu,5,mai,380,1,-1,0,inconnu,no
58,retraité,marié,primaire,non,121,oui,non,inconnu,5,mai,50,1,-1,0,inconnu,no
43,technicien,célibataire,secondaire,non,593,oui,non,inconnu,5,mai,55,1,-1,0,inconnu,no
41,administratif,divorcé,secondaire,non,270,oui,non,inconnu,5,mai,222,1,-1,0,inconnu,no
29,administratif,célibataire,secondaire,non,390,oui,non,inconnu,5,mai,137,1,-1,0,inconnu,no
53,technicien,marié,secondaire,non,6,oui,non,inconnu,5,mai,517,1,-1,0,inconnu,no
58,technicien,marié,inconnu,non,71,oui,non,inconnu,5,mai,71,1,-1,0,inconnu,no
57,service,marié,secondaire,non,162,oui,non,inconnu,5,mai,174,1,-1,0,inconnu,no
51,retraité,marié,primaire,non,229,oui,non,inconnu,5,mai,353,1,-1,0,inconnu,no
45,administratif,célibataire,inconnu,non,13,oui,non,inconnu,5,mai,98,1,-1,0,inconnu,no
57,ouvrier,marié,primaire,non,52,oui,non,inconnu,5,mai,38,1,-1,0,inconnu,no
60,retraité,marié,primaire,non,60,oui,non,inconnu,5,mai,219,1,-1,0,inconnu,no
33,service,marié,secondaire,non,0,oui,non,inconnu,5,mai,54,1,-1,0,inconnu,no
28,ouvrier,marié,secondaire,non,723,oui,oui,inconnu,5,mai,262,1,-1,0,inconnu,no
56,cadre,marié,supérieur,non,779,oui,non,inconnu,5,mai,164,1,-1,0,inconnu,no
32,ouvrier,célibataire,primaire,non,23,oui,oui,inconnu,5,mai,160,1,-1,0,inconnu,no
25,service,marié,secondaire,non,50,oui,non,inconnu,5,mai,342,1,-1,0,inconnu,no
40,retraité,marié,primaire,non,0,oui,oui,inconnu,5,mai,181,1,-1,0,inconnu,no
44,administratif,marié,secondaire,non,-372,oui,non,inconnu,5,mai,172,1,-1,0,inconnu,no
39,cadre,célibataire,supérieur,non,255,oui,non,inconnu,5,mai,296,1,-1,0,inconnu,no
52,entrepreneur,marié,secondaire,non,113,oui,oui,inconnu,5,mai,127,1,-1,0,inconnu,no
46,cadre,célibataire,secondaire,non,-246,oui,non,inconnu,5,mai,255,2,-1,0,inconnu,no
36,technicien,célibataire,secondaire,non,265,oui,oui,inconnu,5,mai,348,1,-1,0,inconnu,no
57,technicien,marié,secondaire,non,839,non,oui,inconnu,5,mai,225,1,-1,0,inconnu,no
49,cadre,marié,supérieur,non,378,oui,non,inconnu,5,mai,230,1,-1,0,inconnu,no
60,administratif,marié,secondaire,non,39,oui,oui,inconnu,5,mai,208,1,-1,0,inconnu,no
59,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,226,1,-1,0,inconnu,no
51,cadre,marié,supérieur,non,10635,oui,non,inconnu,5,mai,336,1,-1,0,inconnu,no
57,technicien,divorcé,secondaire,non,63,oui,non,inconnu,5,mai,242,1,-1,0,inconnu,no
25,ouvrier,marié,secondaire,non,-7,oui,non,inconnu,5,mai,365,1,-1,0,inconnu,no
53,technicien,marié,secondaire,non,-3,non,non,inconnu,5,mai,1666,1,-1,0,inconnu,no
36,administratif,divorcé,secondaire,non,506,oui,non,inconnu,5,mai,577,1,-1,0,inconnu,no
37,administratif,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,137,1,-1,0,inconnu,no
44,service,divorcé,secondaire,non,2586,oui,non,inconnu,5,mai,160,1,-1,0,inconnu,no
50,cadre,marié,secondaire,non,49,oui,non,inconnu,5,mai,180,2,-1,0,inconnu,no
60,ouvrier,marié,inconnu,non,104,oui,non,inconnu,5,mai,22,1,-1,0,inconnu,no
54,retraité,marié,secondaire,non,529,oui,non,inconnu,5,mai,1492,1,-1,0,inconnu,no
58,retraité,marié,inconnu,non,96,oui,non,inconnu,5,mai,616,1,-1,0,inconnu,no
36,administratif,célibataire,primaire,non,-171,oui,non,inconnu,5,mai,242,1,-1,0,inconnu,no
58,indépendant,marié,supérieur,non,-364,oui,non,inconnu,5,mai,355,1,-1,0,inconnu,no
44,technicien,marié,secondaire,non,0,oui,non,inconnu,5,mai,225,2,-1,0,inconnu,no
55,technicien,divorcé,secondaire,non,0,non,non,inconnu,5,mai,160,1,-1,0,inconnu,no
29,cadre,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,363,1,-1,0,inconnu,no
54,ouvrier,marié,secondaire,non,1291,oui,non,inconnu,5,mai,266,1,-1,0,inconnu,no
48,cadre,divorcé,supérieur,non,-244,oui,non,inconnu,5,mai,253,1,-1,0,inconnu,no
32,cadre,marié,supérieur,non,0,oui,non,inconnu,5,mai,179,1,-1,0,inconnu,no
42,administratif,célibataire,secondaire,non,-76,oui,non,inconnu,5,mai,787,1,-1,0,inconnu,no
24,technicien,célibataire,secondaire,non,-103,oui,oui,inconnu,5,mai,145,1,-1,0,inconnu,no
38,entrepreneur,célibataire,supérieur,non,243,non,oui,inconnu,5,mai,174,1,-1,0,inconnu,no
38,cadre,célibataire,supérieur,non,424,oui,non,inconnu,5,mai,104,1,-1,0,inconnu,no
47,ouvrier,marié,inconnu,non,306,oui,non,inconnu,5,mai,13,1,-1,0,inconnu,no
40,ouvrier,célibataire,inconnu,non,24,oui,non,inconnu,5,mai,185,1,-1,0,inconnu,no
46,service,marié,primaire,non,179,oui,non,inconnu,5,mai,1778,1,-1,0,inconnu,no
32,administratif,marié,supérieur,non,0,oui,non,inconnu,5,mai,138,1,-1,0,inconnu,no
53,technicien,divorcé,secondaire,non,989,oui,non,inconnu,5,mai,812,1,-1,0,inconnu,no
57,ouvrier,marié,primaire,non,249,oui,non,inconnu,5,mai,164,1,-1,0,inconnu,no
33,service,marié,secondaire,non,790,oui,non,inconnu,5,mai,391,1,-1,0,inconnu,no
49,ouvrier,marié,inconnu,non,154,oui,non,inconnu,5,mai,357,1,-1,0,inconnu,no
51,cadre,marié,supérieur,non,6530,oui,non,inconnu,5,mai,91,1,-1,0,inconnu,no
60,retraité,marié,supérieur,non,100,non,non,inconnu,5,mai,528,1,-1,0,inconnu,no
59,cadre,divorcé,supérieur,non,59,oui,non,inconnu,5,mai,273,1,-1,0,inconnu,no
55,technicien,marié,secondaire,non,1205,oui,non,inconnu,5,mai,158,2,-1,0,inconnu,no
35,ouvrier,célibataire,secondaire,non,12223,oui,oui,inconnu,5,mai,177,1,-1,0,inconnu,no
57,ouvrier,marié,secondaire,non,5935,oui,oui,inconnu,5,mai,258,1,-1,0,inconnu,no
31,service,marié,secondaire,non,25,oui,oui,inconnu,5,mai,172,1,-1,0,inconnu,no
54,cadre,marié,secondaire,non,282,oui,oui,inconnu,5,mai,154,1,-1,0,inconnu,no
55,ouvrier,marié,primaire,non,23,oui,non,inconnu,5,mai,291,1,-1,0,inconnu,no
43,technicien,marié,secondaire,non,1937,oui,non,inconnu,5,mai,181,1,-1,0,inconnu,no
53,technicien,marié,secondaire,non,384,oui,non,inconnu,5,mai,176,1,-1,0,inconnu,no
44,ouvrier,marié,secondaire,non,582,non,oui,inconnu,5,mai,211,1,-1,0,inconnu,no
55,service,divorcé,secondaire,non,91,non,non,inconnu,5,mai,349,1,-1,0,inconnu,no
49,service,divorcé,secondaire,non,0,oui,oui,inconnu,5,mai,272,1,-1,0,inconnu,no
55,service,divorcé,secondaire,oui,1,oui,non,inconnu,5,mai,208,1,-1,0,inconnu,no
45,administratif,célibataire,secondaire,non,206,oui,non,inconnu,5,mai,193,1,-1,0,inconnu,no
47,service,divorcé,secondaire,non,164,non,non,inconnu,5,mai,212,1,-1,0,inconnu,no
42,technicien,célibataire,secondaire,non,690,oui,non,inconnu,5,mai,20,1,-1,0,inconnu,no
59,administratif,marié,secondaire,non,2343,oui,non,inconnu,5,mai,1042,1,-1,0,inconnu,yes
46,indépendant,marié,supérieur,non,137,oui,oui,inconnu,5,mai,246,1,-1,0,inconnu,no
51,ouvrier,marié,primaire,non,173,oui,non,inconnu,5,mai,529,2,-1,0,inconnu,no
56,administratif,marié,secondaire,non,45,non,non,inconnu,5,mai,1467,1,-1,0,inconnu,yes
41,technicien,marié,secondaire,non,1270,oui,non,inconnu,5,mai,1389,1,-1,0,inconnu,yes
46,cadre,divorcé,secondaire,non,16,oui,oui,inconnu,5,mai,188,2,-1,0,inconnu,no
57,retraité,marié,secondaire,non,486,oui,non,inconnu,5,mai,180,2,-1,0,inconnu,no
42,cadre,célibataire,secondaire,non,50,non,non,inconnu,5,mai,48,1,-1,0,inconnu,no
30,technicien,marié,secondaire,non,152,oui,oui,inconnu,5,mai,213,2,-1,0,inconnu,no
60,administratif,marié,secondaire,non,290,oui,non,inconnu,5,mai,583,1,-1,0,inconnu,no
60,ouvrier,marié,inconnu,non,54,oui,non,inconnu,5,mai,221,1,-1,0,inconnu,no
57,entrepreneur,divorcé,secondaire,non,-37,non,non,inconnu,5,mai,173,1,-1,0,inconnu,no
36,cadre,marié,supérieur,non,101,oui,oui,inconnu,5,mai,426,1,-1,0,inconnu,no
55,ouvrier,marié,secondaire,non,383,non,non,inconnu,5,mai,287,1,-1,0,inconnu,no
60,retraité,marié,supérieur,non,81,oui,non,inconnu,5,mai,101,1,-1,0,inconnu,no
39,technicien,marié,secondaire,non,0,oui,non,inconnu,5,mai,203,1,-1,0,inconnu,no
46,cadre,marié,supérieur,non,229,oui,non,inconnu,5,mai,197,1,-1,0,inconnu,no
44,ouvrier,marié,secondaire,non,-674,oui,non,inconnu,5,mai,257,1,-1,0,inconnu,no
53,ouvrier,marié,primaire,non,90,non,non,inconnu,5,mai,124,1,-1,0,inconnu,no
52,ouvrier,marié,primaire,non,128,oui,non,inconnu,5,mai,229,1,-1,0,inconnu,no
59,ouvrier,marié,primaire,non,179,oui,non,inconnu,5,mai,55,3,-1,0,inconnu,no
27,technicien,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,400,1,-1,0,inconnu,no
44,ouvrier,marié,secondaire,non,54,oui,non,inconnu,5,mai,197,1,-1,0,inconnu,no
47,technicien,marié,supérieur,non,151,oui,non,inconnu,5,mai,190,1,-1,0,inconnu,no
34,administratif,marié,secondaire,non,61,non,oui,inconnu,5,mai,21,1,-1,0,inconnu,no
59,retraité,célibataire,secondaire,non,30,oui,non,inconnu,5,mai,514,1,-1,0,inconnu,no
45,cadre,marié,supérieur,non,523,oui,non,inconnu,5,mai,849,2,-1,0,inconnu,no
29,service,divorcé,secondaire,non,31,oui,non,inconnu,5,mai,194,1,-1,0,inconnu,no
46,technicien,divorcé,secondaire,non,79,non,non,inconnu,5,mai,144,1,-1,0,inconnu,no
56,indépendant,marié,primaire,non,-34,oui,oui,inconnu,5,mai,212,2,-1,0,inconnu,no
36,ouvrier,marié,primaire,non,448,oui,non,inconnu,5,mai,286,1,-1,0,inconnu,no
59,retraité,divorcé,primaire,non,81,oui,non,inconnu,5,mai,107,1,-1,0,inconnu,no
44,ouvrier,marié,secondaire,non,144,oui,non,inconnu,5,mai,247,2,-1,0,inconnu,no
41,administratif,marié,secondaire,non,351,oui,non,inconnu,5,mai,518,1,-1,0,inconnu,no
33,cadre,célibataire,supérieur,non,-67,oui,non,inconnu,5,mai,364,1,-1,0,inconnu,no
59,cadre,divorcé,supérieur,non,262,non,non,inconnu,5,mai,178,1,-1,0,inconnu,no
57,technicien,marié,primaire,non,0,non,non,inconnu,5,mai,98,1,-1,0,inconnu,no
56,technicien,divorcé,inconnu,non,56,oui,non,inconnu,5,mai,439,1,-1,0,inconnu,no
51,ouvrier,marié,secondaire,non,26,oui,non,inconnu,5,mai,79,1,-1,0,inconnu,no
34,administratif,marié,inconnu,non,3,oui,non,inconnu,5,mai,120,3,-1,0,inconnu,no
43,service,marié,secondaire,non,41,oui,oui,inconnu,5,mai,127,2,-1,0,inconnu,no
52,technicien,marié,supérieur,non,7,non,oui,inconnu,5,mai,175,1,-1,0,inconnu,no
33,technicien,célibataire,secondaire,non,105,oui,non,inconnu,5,mai,262,2,-1,0,inconnu,no
29,administratif,célibataire,secondaire,non,818,oui,oui,inconnu,5,mai,61,1,-1,0,inconnu,no
34,service,marié,secondaire,non,-16,oui,oui,inconnu,5,mai,78,1,-1,0,inconnu,no
31,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,143,1,-1,0,inconnu,no
55,service,marié,secondaire,non,2476,oui,non,inconnu,5,mai,579,1,-1,0,inconnu,yes
55,cadre,marié,inconnu,non,1185,non,non,inconnu,5,mai,677,1,-1,0,inconnu,no
32,administratif,célibataire,secondaire,non,217,oui,non,inconnu,5,mai,345,1,-1,0,inconnu,no
38,technicien,célibataire,secondaire,non,1685,oui,non,inconnu,5,mai,185,1,-1,0,inconnu,no
55,administratif,célibataire,secondaire,non,802,oui,oui,inconnu,5,mai,100,2,-1,0,inconnu,no
28,sans emploi,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,125,2,-1,0,inconnu,no
23,ouvrier,marié,secondaire,non,94,oui,non,inconnu,5,mai,193,1,-1,0,inconnu,no
32,technicien,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,136,1,-1,0,inconnu,no
43,service,célibataire,inconnu,non,0,non,non,inconnu,5,mai,73,1,-1,0,inconnu,no
32,ouvrier,marié,secondaire,non,517,oui,non,inconnu,5,mai,528,1,-1,0,inconnu,no
46,ouvrier,marié,secondaire,non,265,oui,non,inconnu,5,mai,541,1,-1,0,inconnu,no
53,domestique,divorcé,primaire,non,947,oui,non,inconnu,5,mai,163,1,-1,0,inconnu,no
34,indépendant,célibataire,secondaire,non,3,oui,non,inconnu,5,mai,301,1,-1,0,inconnu,no
57,sans emploi,marié,supérieur,non,42,non,non,inconnu,5,mai,46,1,-1,0,inconnu,no
37,ouvrier,marié,secondaire,non,37,oui,non,inconnu,5,mai,204,1,-1,0,inconnu,no
59,ouvrier,marié,secondaire,non,57,oui,non,inconnu,5,mai,98,1,-1,0,inconnu,no
33,service,marié,secondaire,non,22,oui,non,inconnu,5,mai,71,1,-1,0,inconnu,no
56,ouvrier,divorcé,primaire,non,8,oui,non,inconnu,5,mai,157,2,-1,0,inconnu,no
48,sans emploi,marié,secondaire,non,293,oui,non,inconnu,5,mai,243,1,-1,0,inconnu,no
43,service,marié,primaire,non,3,oui,non,inconnu,5,mai,186,2,-1,0,inconnu,no
54,ouvrier,marié,primaire,non,348,oui,non,inconnu,5,mai,579,2,-1,0,inconnu,no
51,ouvrier,marié,inconnu,non,-19,oui,non,inconnu,5,mai,163,2,-1,0,inconnu,no
